调入
公告日,实施日,证券代码,证券名称
2021-05-28,2021-06-11,1579.HK,颐海国际
2021-05-28,2021-06-11,1833.HK,平安好医生
2021-05-28,2021-06-11,3380.HK,龙光集团
2021-05-28,2021-06-11,6808.HK,高鑫零售
2021-05-28,2021-06-11,9618.HK,京东集团-SW
2021-05-28,2021-06-11,9988.HK,阿里巴巴-SW
2021-11-26,2021-12-10,0004.HK,九龙仓集团
2021-11-26,2021-12-10,0267.HK,中信股份
2021-11-26,2021-12-10,0788.HK,中国铁塔
2021-11-26,2021-12-10,0817.HK,中国金茂
2021-11-26,2021-12-10,0966.HK,中国太平
2021-11-26,2021-12-10,0998.HK,中信银行
2021-11-26,2021-12-10,1313.HK,华润水泥控股
2021-11-26,2021-12-10,2018.HK,瑞声科技
2021-11-26,2021-12-10,0017.HK,新世界发展
2021-11-26,2021-12-10,0027.HK,银河娱乐
2021-11-26,2021-12-10,0101.HK,恒隆地产
2021-11-26,2021-12-10,0700.HK,腾讯控股
2021-11-26,2021-12-10,0960.HK,龙湖集团
2021-11-26,2021-12-10,0968.HK,信义光能
2021-11-26,2021-12-10,0981.HK,中芯国际
2021-11-26,2021-12-10,1066.HK,威高股份
2021-11-26,2021-12-10,1801.HK,信达生物
2021-11-26,2021-12-10,1810.HK,小米集团-W
2021-11-26,2021-12-10,3690.HK,美团-W
2021-11-26,2021-12-10,6186.HK,中国飞鹤
2021-11-26,2021-12-10,6862.HK,海底捞
2021-11-26,2021-12-10,6969.HK,思摩尔国际
2021-11-26,2021-12-10,9999.HK,网易-S
2022-05-27,2022-06-10,0813.HK,世茂集团
2022-05-27,2022-06-10,1044.HK,恒安国际
2022-05-27,2022-06-10,1128.HK,永利澳门
2022-05-27,2022-06-10,1579.HK,颐海国际
2022-05-27,2022-06-10,3380.HK,龙光集团
2022-05-27,2022-06-10,6160.HK,百济神州
2022-05-27,2022-06-10,6808.HK,高鑫零售
2022-05-27,2022-06-10,6993.HK,蓝月亮集团
2022-05-27,2022-06-10,9901.HK,新东方-S
2022-05-27,2022-06-10,0001.HK,长和
2022-05-27,2022-06-10,0003.HK,香港中华煤气
2022-05-27,2022-06-10,0175.HK,吉利汽车
2022-05-27,2022-06-10,0291.HK,华润啤酒
2022-05-27,2022-06-10,0388.HK,香港交易所
2022-05-27,2022-06-10,0586.HK,海螺创业
2022-05-27,2022-06-10,0669.HK,创科实业
2022-05-27,2022-06-10,0868.HK,信义玻璃
2022-05-27,2022-06-10,0992.HK,联想集团
2022-05-27,2022-06-10,1193.HK,华润燃气
2022-05-27,2022-06-10,1299.HK,友邦保险
2022-05-27,2022-06-10,1997.HK,九龙仓置业
2022-05-27,2022-06-10,2020.HK,安踏体育
2022-05-27,2022-06-10,2269.HK,药明生物
2022-05-27,2022-06-10,2313.HK,申洲国际
2022-05-27,2022-06-10,2382.HK,舜宇光学科技
2022-05-27,2022-06-10,2688.HK,新奥能源
2022-05-27,2022-06-10,3968.HK,招商银行
2022-05-27,2022-06-10,6098.HK,碧桂园服务
2022-11-25,2022-12-09,0486.HK,俄铝
2022-11-25,2022-12-09,1066.HK,威高股份
2022-11-25,2022-12-09,1833.HK,平安好医生
2022-11-25,2022-12-09,1918.HK,融创中国
2022-11-25,2022-12-09,3328.HK,交通银行
2022-11-25,2022-12-09,3333.HK,中国恒大
2022-11-25,2022-12-09,6666.HK,恒大物业
2022-11-25,2022-12-09,0002.HK,中电控股
2022-11-25,2022-12-09,0006.HK,电能实业
2022-11-25,2022-12-09,0011.HK,恒生银行
2022-11-25,2022-12-09,0012.HK,恒基地产
2022-11-25,2022-12-09,0823.HK,领展房产基金
2022-11-25,2022-12-09,0881.HK,中升控股
2022-11-25,2022-12-09,0914.HK,海螺水泥
2022-11-25,2022-12-09,0939.HK,建设银行
2022-11-25,2022-12-09,0960.HK,龙湖集团
2022-11-25,2022-12-09,0968.HK,信义光能
2022-11-25,2022-12-09,1038.HK,长江基建集团
2022-11-25,2022-12-09,1398.HK,工商银行
2022-11-25,2022-12-09,1658.HK,邮储银行
2022-11-25,2022-12-09,2319.HK,蒙牛乳业
2022-11-25,2022-12-09,2331.HK,李宁
