调入
公告日,实施日,证券代码,证券名称
2024-11-29,2024-12-13,002475,立讯精密
2024-11-29,2024-12-13,600176,中国巨石
2024-11-29,2024-12-13,600415,小商品城
2024-11-29,2024-12-13,600941,中国移动
2024-11-29,2024-12-13,601600,中国铝业
2024-11-29,2024-12-13,601816,京沪高铁
2024-11-29,2024-12-13,603993,洛阳钼业
2025-05-30,2025-06-13,000617,中油资本
2025-05-30,2025-06-13,600048,保利发展
2025-05-30,2025-06-13,600111,北方稀土
2025-05-30,2025-06-13,605499,东鹏饮料
2025-11-28,2025-12-12,000988,华工科技
2025-11-28,2025-12-12,002625,光启技术
2025-11-28,2025-12-12,300308,中际旭创
2025-11-28,2025-12-12,300476,胜宏科技

调出
公告日,实施日,证券代码,证券名称
2024-11-29,2024-12-13,002271,东方雨虹
2024-11-29,2024-12-13,002352,顺丰控股
2024-11-29,2024-12-13,002415,海康威视
2024-11-29,2024-12-13,002466,天齐锂业
2024-11-29,2024-12-13,600050,中国联通
2024-11-29,2024-12-13,603605,珀莱雅
2024-11-29,2024-12-13,603799,华友钴业
2025-05-30,2025-06-13,000002,万科A
2025-05-30,2025-06-13,300122,智飞生物
2025-05-30,2025-06-13,600176,中国巨石
2025-05-30,2025-06-13,603993,洛阳钼业
2025-11-28,2025-12-12,000063,中兴通讯
2025-11-28,2025-12-12,300408,三环集团
2025-11-28,2025-12-12,600009,上海机场
2025-11-28,2025-12-12,600426,华鲁恒升
