调入
研报日期,预测调整月,证券名称
2024-05-12,202406,大唐发电
2024-11-12,202412,大悦城
2025-11-07,202512,胜宏科技

调出
研报日期,预测调整月,证券名称
2024-05-12,202406,珀莱雅
2024-05-12,202406,大唐发电
2024-11-12,202412,格科微
2024-11-12,202412,大悦城
2025-11-07,202512,北汽蓝谷
2025-11-07,202512,胜宏科技
